Course Code,Course Title,Units,Terms Offered,Description
COMPSCI C88C,Computational Structures in Data Science,3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023, Fall 2022","Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding the structures that underlie the programs, algorithms, and languages used in data science and elsewhere. Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming."
COMPSCI 94,Special Topics,1 - 4 Units,Terms offered: Fall 2015,Topics will vary semester to semester. See the Computer Science Division announcements.
COMPSCI 97,Field Study,1 - 4 Units,"Terms offered: Fall 2015, Spring 2015, Fall 2014","Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation."
COMPSCI 98,Directed Group Study,1 - 4 Units,"Terms offered: Fall 2018, Fall 2016, Fall 2015","Seminars for group study of selected topics, which will vary from year to year. Intended for students in the lower division."
COMPSCI 99,Individual Study and Research for Undergraduates,1 - 2 Units,"Terms offered: Fall 2015, Fall 2014, Spring 2014","A course for lower division students in good standing who wish to undertake a program of individual inquiry initiated jointly by the student and a professor. There are no other formal prerequisites, but the supervising professor must be convinced that the student is able to profit by the program."
COMPSCI C100,Principles & Techniques of Data Science,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session, Spring 2023, Fall 2022, Fall 2021, Fall 2020","In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction , and decision-making.  This class will focus on quantitative critical thinking  and key principles and techniques needed to carry out this cycle. These include languages for"
COMPSCI 146L,Programmable Digital Systems Laboratory,2 Units,Terms offered: Spring 2015,"Hardware description languages for digital system design and interactions with tool flows. Design, implementation, and verification of digital designs. Digital synthesis, partitioning, placement, routing, and simulation for Field-Programmable Gate Arrays. Large digital-system design concepts. Project design component   example, a full processor implementation with peripherals."
COMPSCI 152,Computer Architecture and Engineering,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Instruction set architecture, microcoding, pipelining (simple and complex). Memory hierarchies and virtual memory. Processor parallelism: VLIW, vectors, multithreading. Multiprocessors."
COMPSCI 160,User Interface Design and Development,4 Units,"Terms offered: Spring 2024, Summer 2023 8 Week Session, Spring 2023","The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a"
COMPSCI 161,Computer Security,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session","Introduction to computer security. Cryptography, including encryption, authentication, hash functions, cryptographic protocols, and applications. Operating system security, access control. Network security, firewalls, viruses, and worms. Software security, defensive programming, and language-based security. Case studies from real-world systems."
COMPSCI 162,Operating Systems and System Programming,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Basic concepts of operating systems and system programming. Utility programs, subsystems, multiple-program systems. Processes, interprocess communication, and synchronization. Memory allocation, segmentation, paging. Loading and linking, libraries. Resource allocation, scheduling, performance evaluation. File systems, storage devices, I/O systems. Protection, security, and privacy."
COMPSCI 164,Programming Languages and Compilers,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Survey of programming languages. The design of modern programming languages. Principles and techniques of scanning, parsing, semantic analysis, and code generation. Implementation of compilers, interpreters, and assemblers. Overview of run-time organization and error handling."
COMPSCI 168,Introduction to the Internet: Architecture and Protocols,4 Units,"Terms offered: Spring 2024, Fall 2022, Spring 2020","This course is an introduction to the Internet architecture. We will focus on the concepts and fundamental design principles that have contributed to the Internet's scalability and robustness and survey the various protocols and algorithms used within this architecture. Topics include layering, addressing, intradomain routing, interdomain routing, reliable delivery, congestion control, and the core protocols (e.g., TCP, UDP, IP, DNS, and HTTP)"
COMPSCI 169,Software Engineering,4 Units,"Terms offered: Fall 2019, Spring 2019, Fall 2017","Ideas and techniques for designing, developing, and modifying large software systems. Function-oriented and object-oriented modular design techniques, designing for re-use and maintainability. Specification and documentation. Verification and validation. Cost and quality metrics and estimation. Project team organization and management. Students will work in teams on a substantial programming project."
COMPSCI 169A,Introduction to Software Engineering,4 Units,"Terms offered: Fall 2023, Summer 2023 8 Week Session, Fall 2022","Ideas and techniques for designing, developing, and modifying large software systems. Service-oriented architecture, behavior-driven design with user stories, cloud computing, test-driven development, automated testing, cost and quality metrics for maintainability and effort estimation, practical performance and security in software operations, design patterns and refactoring, specification and documentation, agile project team"
COMPSCI 169L,Software Engineering Team Project,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Open-ended design project enhancing or creating software for real customers in an agile team setting. Teamwork coordination, effective customer meetings, pre- and post-iteration team meetings, running scrums and standups, technical communication. Contributing as a team to an open-source project; tools and workflows associated with open source collaboration, including fork-and-pull, rebase, upstream merge, continuous deployment & inte"
COMPSCI W169A,Software Engineering,3 Units,"Terms offered: Summer 2021 8 Week Session, Fall 2020, Summer 2020 8 Week Session","This course presents ideas and techniques for designing, developing, and modifying large software systems using Agile techniques and tools. Topics include: function-oriented and object-oriented modular design techniques, designing for re-use and maintainability including proper use of design patterns, behavior-driven design, test-driven development, user stories for requirements elicitation & documentation"
COMPSCI 170,Efficient Algorithms and Intractable Problems,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems."
COMPSCI 171,Cryptography,4 Units,"Terms offered: Spring 2024, Spring 2021","Cryptography or cryptology is the science of designing algorithms and protocols for enabling parties to communicate and compute securely in an untrusted environment (e.g. secure communication, digital signature, etc.) Over the last four decades, cryptography has transformed from an ad hoc collection of mysterious tricks into a rigorous science based on firm complexity-theoretic foundations. This modern complexity-theoretic approach to cryptography will"
COMPSCI 172,Computability and Complexity,4 Units,"Terms offered: Fall 2022, Spring 2022, Spring 2021","Finite automata, Turing machines and RAMs. Undecidable, exponential, and polynomial-time problems. Polynomial-time equivalence of all reasonable models of computation. Nondeterministic Turing machines. Theory of NP-completeness: Cook's theorem, NP-completeness of basic problems. Selected topics in language theory, complexity and randomness."
COMPSCI 174,Combinatorics and Discrete Probability,4 Units,"Terms offered: Spring 2023, Spring 2022, Fall 2019","Permutations, combinations, principle of inclusion and exclusion, generating functions, Ramsey theory. Expectation and variance, Chebychev's inequality, Chernov bounds. Birthday paradox, coupon collector's problem, Markov chains and entropy computations, universal hashing, random number generation, random graphs and probabilistic existence bounds."
COMPSCI 176,Algorithms for Computational Biology,4 Units,"Terms offered: Fall 2020, Fall 2018, Fall 2017","Algorithms and probabilistic models that arise in various computational biology applications: suffix trees, suffix arrays, pattern matching, repeat finding, sequence alignment, phylogenetics, genome rearrangements, hidden Markov models, gene finding, motif finding, stochastic context free grammars, RNA secondary structure. There are no biology prerequisites for this course, but a strong quantitative background will be essential."
COMPSCI C176,Algorithms for Computational Biology,4 Units,Terms offered: Fall 2022,"This course will provide familiarity with algorithms and probabilistic models that arise in various computational biology applications, such as suffix trees, suffix arrays, pattern matching, repeat finding, sequence alignment, phylogenetics, hidden Markov models, gene finding, motif finding, linear/logistic regression, random forests, convolutional neural networks, genome-wide association studies, pathogenicity prediction, and sequence-to-epigenome prediction."
COMPSCI C177,Algorithmic Economics,4 Units,Terms offered: Spring 2024,"The class provides an introduction to algorithmic questions in economic design. The class will cover problems of public goods and social choice, as well as allocative questions and private consumption. The focus is on normative questions: From the perspective of social goals, these are efficiency, fairness, and equity. In terms of private goals, the focus is on revenue maximization. The course will cover voting, fair division, pricing and market mechanisms. There"
COMPSCI 180,Intro to Computer Vision and Computational Photography,4 Units,Terms offered: Fall 2023,"This advanced undergraduate course introduces students to computing with visual data (images and video). We will cover acquisition, representation, and manipulation of visual information from digital photographs (image processing), image analysis and visual understanding (computer vision), and image synthesis (computational photography). Key algorithms will be presented, ranging from classical to contemporary, with an emphasis on using these techniques to build practical"
COMPSCI 182,"Designing, Visualizing and Understanding Deep Neural Networks",4 Units,"Terms offered: Fall 2023, Spring 2023, Fall 2022","Deep Networks have revolutionized computer vision, language technology, robotics and control. They have growing impact in many other areas of science and engineering. They do not however, follow a closed or compact set of theoretical principles. In Yann Lecun's words they require ""an interplay between intuitive insights, theoretical modeling,"
COMPSCI 184,Foundations of Computer Graphics,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Techniques of modeling objects for the purpose of computer rendering: boundary representations, constructive solids geometry, hierarchical scene descriptions. Mathematical techniques for curve and surface representation. Basic elements of a computer graphics rendering pipeline; architecture of modern graphics display devices. Geometrical transformations such as rotation, scaling, translation, and their matrix representations. Homogeneous"
COMPSCI 186,Introduction to Database Systems,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation"
COMPSCI W186,Introduction to Database Systems,4 Units,"Terms offered: Fall 2021, Spring 2021, Spring 2020","Broad introduction to systems for storing, querying, updating and managing large databases. Computer science skills synthesizing viewpoints from low-level systems architecture to high-level modeling and declarative logic. System internals, including the complex details of query optimization and execution, concurrency control, indexing, and memory management. More abstract issues in query languages and data modeling   students are exposed to"
COMPSCI 188,Introduction to Artificial Intelligence,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session","Ideas and techniques underlying the design of intelligent computer systems. Topics include search, game playing, knowledge representation, inference, planning, reasoning under uncertainty, machine learning, robotics, perception, and language understanding."
COMPSCI 189,Introduction to Machine Learning,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects"
COMPSCI C191,Introduction to Quantum Computing,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This multidisciplinary course provides an introduction to fundamental conceptual aspects of quantum mechanics from a computational and informational theoretic perspective, as well as physical implementations and technological applications of quantum information science. Basic sections of quantum algorithms, complexity, and cryptography, will be touched upon, as well as pertinent physical realizations from nanoscale science and engineering."
COMPSCI 194,Special Topics,1 - 4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",Topics will vary semester to semester. See the Computer Science Division announcements.
COMPSCI 195,Social Implications of Computer Technology,1 Unit,"Terms offered: Fall 2023, Spring 2023, Fall 2022",Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students will lead discussions on additional topics.
COMPSCI H195,Honors Social Implications of Computer Technology,3 Units,"Terms offered: Fall 2023, Spring 2023, Spring 2022",Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students may lead discussions on additional topics.
COMPSCI H196A,Senior Honors Thesis Research,1 - 4 Units,"Terms offered: Fall 2021, Fall 2020, Fall 2016","Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division"
COMPSCI H196B,Senior Honors Thesis Research,1 - 4 Units,"Terms offered: Spring 2023, Spring 2010, Spring 2009","Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division"
COMPSCI 197,Field Study,1 - 4 Units,"Terms offered: Fall 2023, Spring 2019, Fall 2018","Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation."
COMPSCI 198,Directed Group Studies for Advanced Undergraduates,1 - 4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Group study of selected topics in Computer Sciences, usually relating to new developments."
COMPSCI 199,Supervised Independent Study,1 - 4 Units,"Terms offered: Fall 2021, Spring 2020, Fall 2018",Supervised independent study. Enrollment restrictions apply.
COMPSCI C200A,Principles and Techniques of Data Science,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023, Spring 2022, Spring 2021, Spring 2020","Explores the data science lifecycle: question formulation, data collection and cleaning, exploratory, analysis, visualization, statistical inference, prediction, and decision-making. Focuses on quantitative critical thinking and key principles and techniques: languages for transforming, querying and analyzing data; algorithms for machine learning methods: regression, classification and clustering; principles"
COMPSCI C249A,Introduction to Embedded Systems,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021","This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence"
COMPSCI 250,VLSI Systems Design,4 Units,"Terms offered: Fall 2020, Spring 2017, Spring 2016","Unified top-down and bottom-up design of integrated circuits and systems concentrating on architectural and topological issues. VLSI architectures, systolic arrays, self-timed systems. Trends in VLSI development. Physical limits. Tradeoffs in custom-design, standard cells, gate arrays. VLSI design tools."
COMPSCI 252A,Graduate Computer Architecture,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Graduate survey of contemporary computer organizations covering: early systems, CPU design, instruction sets, control, processors, busses, ALU, memory, I/O interfaces, connection networks, virtual memory, pipelined computers, multiprocessors, and case studies. Term paper or project is required."
COMPSCI 260A,User Interface Design and Development,4 Units,"Terms offered: Spring 2024, Spring 2023, Fall 2020","The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and"
COMPSCI 260B,Human-Computer Interaction Research,3 Units,Terms offered: Fall 2017,"This course is a broad introduction to conducting research in Human-Computer Interaction. Students will become familiar with seminal and recent literature; learn to review and critique research papers; re-implement and evaluate important existing systems; and gain experience in conducting research. Topics include input devices, computer-supported cooperative work, crowdsourcing, design tools, evaluation methods, search and mobile interfaces, usable security, help and"
COMPSCI 261,Security in Computer Systems,3 Units,"Terms offered: Fall 2023, Spring 2021, Fall 2018","Graduate survey of modern topics in computer security, including protection, access control, distributed access security, firewalls, secure coding practices, safe languages, mobile code, and case studies from real-world systems. May also cover cryptographic protocols, privacy and anonymity, and/or other topics as time permits."
COMPSCI 261N,Internet and Network Security,4 Units,"Terms offered: Spring 2020, Fall 2016, Spring 2015",Develops a thorough grounding in Internet and network security suitable for those interested in conducting research in the area or those more broadly interested in security or networking. Potential topics include denial-of-service; capabilities; network intrusion detection/prevention; worms; forensics; scanning; traffic analysis; legal issues; web attacks; anonymity; wireless and networked devices; honeypots; botnets; scams; underground economy;
COMPSCI 262A,Advanced Topics in Computer Systems,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021","Graduate survey of systems for managing computation and information, covering a breadth of topics: early systems; volatile memory management, including virtual memory and buffer management; persistent memory systems, including both file systems and transactional storage managers; storage metadata, physical vs. logical naming, schemas, process scheduling, threading and concurrency control; system support for networking, including remote procedure"
COMPSCI 262B,Advanced Topics in Computer Systems,3 Units,"Terms offered: Spring 2020, Spring 2009, Fall 2008","Continued graduate survey of large-scale systems for managing information and computation. Topics include basic performance measurement; extensibility, with attention to protection, security, and management of abstract data types; index structures, including support for concurrency and recovery; parallelism, including parallel architectures, query processing and scheduling; distributed data management, including distributed and mobile file"
COMPSCI 263,Design of Programming Languages,3 Units,"Terms offered: Fall 2021, Fall 2019, Spring 2019","Selected topics from: analysis, comparison, and design of programming languages, formal description of syntax and semantics, advanced programming techniques, structured programming, debugging, verification of programs and compilers, and proofs of correctness."
COMPSCI 264,Implementation of Programming Languages,4 Units,"Terms offered: Fall 2023, Fall 2021, Spring 2011","Compiler construction. Lexical analysis, syntax analysis. Semantic analysis code generation and optimization. Storage management. Run-time organization."
COMPSCI 265,Compiler Optimization and Code Generation,3 Units,"Terms offered: Fall 2009, Spring 2003, Spring 2000",Table-driven and retargetable code generators. Register management. Flow analysis and global optimization methods. Code optimization for advanced languages and architectures. Local code improvement. Optimization by program transformation. Selected additional topics. A term paper or project is required.
COMPSCI C267,Applications of Parallel Computers,3 - 4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022, Spring 2021","Models for parallel programming. Overview of parallelism in scientific applications and study of parallel algorithms for linear algebra, particles, meshes, sorting, FFT, graphs, machine learning, etc. Survey of parallel machines and machine structures. Programming shared- and distributed-memory parallel computers, GPUs, and cloud platforms. Parallel programming languages, compilers, libraries and toolboxes. Data partitioning"
COMPSCI W267,Applications of Parallel Computers,3 Units,Terms offered: Prior to 2007,"Parallel programming, from laptops to supercomputers to the cloud. Goals include writing programs that run fast while minimizing programming effort. Parallel architectures and programming languages and models, including shared memory (eg OpenMP on your multicore laptop), distributed memory (MPI and UPC on a supercomputer), GPUs (CUDA and OpenCL), and cloud (MapReduce, Hadoop and Spark). Parallel algorithms and software tools for common computations (eg dense and"
COMPSCI 268,Computer Networks,3 Units,"Terms offered: Spring 2023, Spring 2021, Spring 2019","Distributed systems, their notivations, applications, and organization. The network component. Network architectures. Local and long-haul networks, technologies, and topologies. Data link, network, and transport protocols. Point-to-point and broadcast networks. Routing and congestion control. Higher-level protocols. Naming. Internetworking. Examples and case studies."
