Course Code,Course Title,Units,Terms Offered,Description
"A,RESEC 242",quantit polici analysi,3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",product versu predatori govern behavior rent seek social wast provis public good three failur type distinguish market govern organiz the role public versu special interest model determin degre extent organiz failur collect group behavior altern framework use evalu variou type polici
"A,RESEC 249",agricultur food resourc polici workshop,1 Unit,"Terms offered: Spring 2024, Fall 2023, Spring 2023",present critic ongo research faculti staff student not necessarili offer everi semest
"A,RESEC C251",microeconom develop,3 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",theoret empir analys poverti inequ household commun behavior contract institut context develop countri
"A,RESEC C253",intern econom develop polici,3 Units,"Terms offered: Spring 2024, Spring 2023, Fall 2022, Spring 2022, Fall 2020, Fall 2019, Fall 2018",thi cours emphas develop applic polici solut problem relat poverti macroeconom polici environment sustain method statist econom polici analysi appli seri case studi the cours design develop practic profession skill applic intern arena
"A,RESEC 259",rural econom develop workshop,1 Unit,"Terms offered: Spring 2024, Fall 2023, Spring 2023",present critic ongo research faculti staff student not necessarili offer everi semest
"A,RESEC 261",environment resourc econom,3 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",theori renew nonrenew natur resourc use applic forest fisheri energi climat chang resourc growth sustain econom theori environment polici extern coasian critiqu tax incid anomali indirect tax doubl dividend environment standard environment regul impact uncertainti tax standard mechan design monitor penalti
"A,RESEC 262",valuat,3 Units,"Terms offered: Spring 2014, Spring 2012, Spring 2011",the econom concept valu histor evolut market valuat reveal prefer method singl site demand demand corner solut model valuat qualiti chang avert behavior hedon method conting valuat state prefer method rank choic conjoint analysi valu life safeti sampl questionnair design valuat survey
"A,RESEC 263",dynam method environment resourc econom,3 Units,"Terms offered: Spring 2018, Spring 2016, Fall 2013",thi cours studi method analysi optim control dynam system emphas applic environment natur resourc econom determinist model studi use phase plane analysi calculu variat maximum principl dynam program numer method appli discret time stochast determinist dynam model
"A,RESEC 264",empir energi environment econom,3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",thi cours design help prepar graduat student conduct empir research energi environment econom the cours two broad object the first develop understand specif empir method research design routin use field energi environment econom the second familiar student econom theori institut
"A,RESEC 265",advanc topic environment resourc econom,3 Units,Terms offered: Fall 2015,advanc topic environment resourc econom topic vari includ econom land water fisheri forestri pesticid endang speci polici instrument environment polici empir evalu environment resourc polici
"A,RESEC 269",natur resourc econom workshop,1 Unit,"Terms offered: Spring 2024, Fall 2023, Spring 2023",present critic ongo research faculti staff student not necessarili offer everi semest
"A,RESEC 298",special studi graduat student,1 - 6 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",all properli qualifi graduat student wish pursu special field studi may propos program studi accept member staff work
"A,RESEC 299",individu research,1 - 12 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",
"A,RESEC 375",profession prepar teach environment econom polici,1 - 6 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",discuss problem review develop guidanc discuss class cours develop supervis practic teach
"A,RESEC 400",profession train research methodolog,1 - 6 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",individu train graduat student plan perform research supervis faculti advis intend provid academ credit experi obtain hold research assistantship
"A,RESEC 602",individu studi doctor student,1 - 12 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",individu studi consult major field advis intend provid opportun qualifi student prepar variou examin requir candid may use unit resid requir doctor degre
AERO ENG 1,aerospac engin seminar,1 Unit,Terms offered: Fall 2023,thi seminar cours offer everi fall semest consist lectur lead practition aerospac engin bay area beyond thi seminar coordin faculti member charg identifi schedul speaker
AERO ENG 2,aerospac engin seminar,1 Unit,"Terms offered: Spring 2024, Spring 2023",thi seminar cours offer everi spring semest showcas research uc berkeley campu engin scientif commun includ lawrenc berkeley nation laboratori space scienc laboratori thi seminar coordin one faculti charg schedul speaker
AERO ENG 10,introduct aerospac engin design,4 Units,"Terms offered: Fall 2023, Spring 2023",thi cours introduc mathemat engin concept wide rang analysi design techniqu relev aerospac engin via approxim modul cover follow topic dynam control small aircraft dynam ellipt hyperbol parabol orbit includ rendezv object circular orbit control volum analysi rocket engin effect drive space probe
AERO ENG 24,freshman seminar,1 Unit,Terms offered: Spring 2023,the berkeley seminar program design provid new student opportun explor intellectu topic faculti member set berkeley seminar offer campu depart topic vari depart depart semest semest
AERO ENG 98,supervis group studi research,1 - 4 Units,Terms offered: Not yet offered,organ group studi variou topic select lower divis student sponsorship direct member aerospac engin faculti
AERO ENG C162,introduct flight mechan,3 Units,Terms offered: Fall 2023,thi cours introduc flight mechan wide rang analysi design techniqu relev flight perform characterist aerospac vehicl the cours consist major modul follow topic introduct flow type lift drag aircraft perform stabil control promin space flight the entir cours enrich numer practic exampl real life help understand practic
AERO ENG C184,flight vehicl structur aeroelast,3 Units,Terms offered: Not yet offered,thi cours introduc engin student analysi design compon flight structur rang subson aircraft rocket emphasi place dynam analysi structur compon preval aerospac engin attent also devot comprehens design roadmap flight vehicl structur full individu
AERO ENG 197,undergradu aerospac engin field studi,0.5 - 4 Units,Terms offered: Not yet offered,supervis field experi rel specif aspect practic aerospac engin under guidanc faculti member student work govern industri primarili internship set relat type project emphasi place attain practic experi aerospac engin field
AERO ENG 198,direct group studi advanc undergradu,1 - 4 Units,"Terms offered: Fall 2023, Spring 2023",group studi select topic topic aerospac engin credit cours combin may exceed unit singl term see colleg restrict
AEROSPC 1A,foundat air forc,1 Unit,"Terms offered: Fall 2023, Spring 2023, Fall 2022",thi cours introduc student unit state air forc usaf air forc reserv offic train corp afrotc overview basic characterist mission organ air forc addit topic includ officership profession air forc career opportun militari custom courtesi introduct usaf basic commun skill addit afrotc cadet must attend weekli leadership
AEROSPC 1B,foundat air forc,1 Unit,"Terms offered: Spring 2024, Spring 2023, Spring 2022",a survey cours design introduc cadet air forc air forc reserv offic train corp afrotc featur topic includ histori structur air forc air forc capabl career opportun benefit air forc instal commun skill addit afrotc cadet must attend leadership lab leadership lab weekli laboratori touch topic air forc
AEROSPC 2A,the evolut air space power,1 Unit,"Terms offered: Fall 2023, Fall 2022, Spring 2022",thi cours design provid fundament understand leadership team build student learn mani layer leadership includ aspect alway come mind such thing includ listen understand good follow problem solv effici student appli leadership perspect complet team build activ discuss thing like conflict
AEROSPC 2B,the evolut air space power,1 Unit,"Terms offered: Spring 2024, Spring 2023, Spring 2022",thi cours design provid fundament understand leadership team build student learn mani layer leadership includ aspect alway come mind such thing includ listen understand good follow problem solv effici student appli leadership perspect complet team build activ discuss thing like
AEROSPC 100,leadership laboratori,0.0 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",leadership lab llab repres portion aerospac studi cours it present dynam integr group leadership development activ llab student plan organ execut practicum intend maxim cadet leadership experi prepar easi transit activ duti assign it conduct supervis afrotc cadr the cours focus leadership
AEROSPC 135A,leadership studi,3 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",thi cours studi leadership manag fundament profession knowledg commun skill requir air forc junior offic lectur text case studi class discuss use examin aspect leadership includ counsel mentor empow problem solv account author student develop upon basic written oral commun skill primarili written assign
AEROSPC 135B,leadership studi,3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",thi cours studi leadership manag fundament profession knowledg commun skill requir air forc junior offic lectur text case studi class discuss use examin aspect leadership includ counsel mentor empow problem solv account author student develop upon basic written oral commun skill primarili written
AFRICAM R1A,freshman composit,4 Units,"Terms offered: Spring 2023, Fall 2022, Spring 2022",train expositori argument style write the assign focu theme issu african american life cultur satisfi first half read composit requir
AFRICAM R1AN,read composit,3 Units,"Terms offered: Summer 2007 10 Week Session, Summer 2006 10 Week Session",to provid summer bridg student train expositori argument style write the assign focu theme issu african american life cultur satisfi first half read composit requir
AFRICAM R1B,freshman composit,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",continu train expositori argument write emphasi literari interpret satisfi second half read composit requir
AFRICAM 4A,africa histori cultur,4 Units,"Terms offered: Spring 2024, Fall 2022, Fall 2021",emphasi social cultur polit econom structur introduct art literatur oral tradit belief system
AFRICAM 4B,africa histori cultur,4 Units,"Terms offered: Spring 2023, Spring 2022, Summer 2016 Second 6 Week Session",emphasi social polit econom chang centuri africa emphasi upon role modern urban emerg contemporari african state
AFRICAM N4A,africa histori cultur,3 Units,Terms offered: Summer 1996 10 Week Session,emphasi social cultur polit econom structur introduct art literatur oral tradit belief system
AFRICAM 5A,african american life cultur unit state,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",a studi genesi develop scope african american cultur approach examin select art form histor theme intellectu current
AFRICAM 5B,african american life cultur unit state,4 Units,"Terms offered: Spring 2024, Spring 2023, Summer 2022 Second 6 Week Session",emphasi social experi african american an interdisciplinari approach design help student understand forc idea influenc individu collect african american experi
AFRICAM 7A,elementari wolof,4 Units,"Terms offered: Fall 2014, Fall 2013, Fall 2012",thi cours introduc student speak listen read write wolof instruct mix english wolof emphasi place develop student abil creat commun basic wolof structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag center read
AFRICAM 7B,elementari wolof,4 Units,"Terms offered: Spring 2015, Spring 2014, Spring 2013",thi cours introduc student speak listen read write wolof instruct mix english wolof emphasi place develop student abil creat commun basic wolof structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag center
AFRICAM 8A,intermedi wolof,4 Units,"Terms offered: Fall 2014, Fall 2013, Fall 2012",thi cours review expand student knowledg fundament structur elementari wolof appropri cultur context structur oral written commun more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write read
AFRICAM 8B,intermedi wolof,4 Units,"Terms offered: Spring 2015, Spring 2014, Spring 2013",thi cours review expand student knowledg fundament structur elementari wolof appropri cultur context structur oral written commun more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write
AFRICAM 9A,advanc wolof,4 Units,Terms offered: Prior to 2007,thi cours review expand student knowledg intermedi wolof oral written commun present appropri cultur context develop oral languag skill strongli emphas part cours expand individu present class discuss record avail berkeley languag center write grammar vocabulari read expand composit written exercis
AFRICAM 9B,advanc wolof,4 Units,Terms offered: Prior to 2007,thi cours review expand student knowledg intermedi wolof oral written commun present appropri cultur context develop oral languag skill strongli emphas part cours expand individu present class discuss record avail berkeley languag center write grammar vocabulari read expand composit written exercis
AFRICAM 10A,intermedi swahili,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2020",thi cours review expand student knowledg fundament structur elementari swahili appropri cultur context structur oral written commun more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write read
AFRICAM 10B,intermedi swahili,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",thi cours review expand student knowledg fundament structur elementari swahili appropri cultur context structur oral written commun more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write
AFRICAM 11A,elementari swahili,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",thi cours introduc student basic speak listen read write swahili instruct mix english swahili emphasi place develop student abil creat commun basic structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag center
AFRICAM 11B,elementari swahili,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",thi cours introduc student basic speak listen read write swahili instruct mix english swahili emphasi place develop student abil creat commun basic structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag
AFRICAM 12,intens elementari swahili,8 Units,"Terms offered: Summer 2019 8 Week Session, Summer 2014 10 Week Session, Summer 2014 8 Week Session",thi intens introduct swahili languag beginn specif design second languag swahili learner the cours equival two semest studi swahili full academ year credit in order attain necessari profici use interag round tabl ilr scale end week student need commit use
AFRICAM 13A,elementari zulu,4 Units,"Terms offered: Fall 2011, Fall 2010",thi cours introduc student speak listen read write zulu instruct mix english zulu emphasi place develop student abil creat commun basic zulu structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag center read write
AFRICAM 13B,elementari zulu,4 Units,"Terms offered: Spring 2012, Spring 2011",thi cours introduc student speak listen read write zulu instruct mix english zulu emphasi place develop student abil creat commun basic zulu structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag center read write
AFRICAM 14A,intermedi zulu,4 Units,Terms offered: Prior to 2007,thi cours review expand student knowledg fundament structur elementari zulu oral written commun emphas more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write read expand composit written exercis independ
AFRICAM 14B,intermedi zulu,4 Units,Terms offered: Prior to 2007,thi cours review expand student knowledg fundament structur elementari zulu oral written commun emphas more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write read expand composit written exercis independ
AFRICAM 15A,advanc swahili,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",thi cours review expand student knowledg intermedi swahili oral written commun present appropri cultur context develop oral languag skill strongli emphas part cours expand individu present class discuss record avail berkeley languag center write grammar vocabulari read expand composit
AFRICAM 15B,advanc swahili,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",thi cours review expand student knowledg intermedi swahili develop oral languag skill strongli emphas part cours expand individu present class discuss record avail berkeley languag center write grammar vocabulari read expand composit research project text avail berkeley african librari
AFRICAM 16A,elementari igbo,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",igbo one main languag spoken nigeria origin southeastern nigeria among igbo peopl igbo spoken around million peopl nigeria throughout diaspora the igbo languag languag famili there sever igbo dialect spoken eastern nigeria mutual intellig a standard igbo use eastern nigeria govern law educ religi
AFRICAM 16B,elementari igbo,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",igbo one main languag spoken nigeria origin southeastern nigeria among igbo peopl igbo spoken around million peopl nigeria throughout diaspora the igbo languag languag famili there sever igbo dialect spoken eastern nigeria mutual intellig a standard igbo use eastern nigeria govern law educ religi
AFRICAM 18A,elementari amhar,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2020",amhar one major languag ethiopia spoken million peopl wide use emigr diaspora thi cours introduc amhar languag cultur heritag languag learner the class primarili emphas listen speak read write commun activ enabl student perform variou task target languag we also becom familiar
AFRICAM 18B,elementari amhar,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2021",thi cours introduc student complex speak write listen exercis the cours cover differ task intermedi abstract it mainli focus speak the speak mostli carri student dialogu role play narr format
AFRICAM 19A,advanc zulu,4 Units,Terms offered: Prior to 2007,thi cours review expand student knowledg intermedi zulu oral written commun present appropri cultur context develop oral languag skill strongli emphas part cours expand individu present class discuss record avail berkeley languag center write grammar vocabulari read expand composit written exercis
AFRICAM 19B,advanc zulu,4 Units,Terms offered: Prior to 2007,thi cours review expand student knowledg intermedi zulu oral written commun present appropri cultur context develop oral languag skill strongli emphas part cours expand individu present class discuss record avail berkeley languag center write grammar vocabulari read expand composit written exercis
AFRICAM C20AC,the elect,4 Units,Terms offered: Fall 2020,dure fall semest quadrenni opportun studi american polit presidenti campaign combin analysi elect studi relev histor sociolog trend shape moment live roster guest speaker across berkeley campu commun class provid student comprehens interdisciplinari introduct american polit
AFRICAM 21A,intermedi amhar,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2020",thi cours continu build student learn prerequisit cours
AFRICAM 21B,intermedi amhar,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2021",a student requir success complet intermedi amhar i uc berkeley student took amhar elsewher may take placement test enrol cours the design syllabu base global standard teach amhar foreign languag actfl profici guidelin to familiar standard actfl profici guidelin visit follow link http
AFRICAM 24,freshman seminar,1 Unit,"Terms offered: Fall 2023, Fall 2022, Fall 2020",the berkeley seminar program design provid new student opportun explor intellectu topic faculti member set berkeley seminar offer campu depart topic vari depart depart semest semest
AFRICAM 25AC,african american music us popular cultur,4 Units,"Terms offered: Spring 2003, Spring 2002, Spring 2000",thi cours interdisciplinari analysi aesthet polit us focu black popular music sinc wwii emphasi black awaken with african american experi center cours explor construct white len jazz disco hip hop ident format well work member asian american latinx music commun
AFRICAM 27AC,race racism resist unit state,3 Units,"Terms offered: Fall 2023, Summer 2023 Second 6 Week Session, Fall 2022",thi cours explor role race racism resist unit state present we read autobiograph work written racial justic activist alongsid work theori racial format togeth ask what race how defin recogn racism how race shape live american histor classifi minor and intellectu
AFRICAM 28AC,global minor american commun,3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022",an examin movement individu idea ideolog institut minor american commun african american asian chicano cultur origin centuri the cours util concept migrat diaspora other multicultur global villag draw larg social scienc
AFRICAM 30A,elementari chichewa,4 Units,"Terms offered: Spring 2019, Fall 2018, Fall 2016",thi cours introduc student speak listen read write chichewa instruct mix english chichewa emphasi place develop student abil creat commun basic chichewa structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag center
AFRICAM 30B,elementari chichewa,4 Units,"Terms offered: Spring 2017, Spring 2016, Spring 2015",thi cours introduc student speak listen read write chichewa instruct mix english chichewa emphasi place develop student abil creat commun basic chichewa structur vocabulari cultur social appropri context speak listen abil develop oral exercis class discuss record avail berkeley languag
AFRICAM 31A,intermedi chichewa,4 Units,"Terms offered: Fall 2018, Fall 2011, Fall 2010",thi cours review expand student knowledg fundament structur elementari chichewa appropri cultur context structur oral written commun more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write read
AFRICAM 31B,intermedi chichewa,4 Units,"Terms offered: Spring 2012, Spring 2011",thi cours review expand student knowledg fundament structur elementari chichewa appropri cultur context structur oral written commun more grammar vocabulari cultur social appropri context develop speak abil expand oral exercis individu report class discuss record avail berkeley languag center write read
AFRICAM 39B,seminar,2 - 4 Units,"Terms offered: Fall 2020, Spring 2020, Spring 2018",freshman sophomor seminar offer lower divis student opportun explor intellectu topic faculti member group peer set these seminar offer campu depart topic vari depart depart semest semest
AFRICAM 39D,seminar,2 - 4 Units,"Terms offered: Summer 2019 Second 6 Week Session, Summer 2016 10 Week Session, Spring 2013",freshman sophomor seminar offer lower divis student opportun explor intellectu topic faculti member group peer set these seminar offer campu depart topic vari depart depart semest semest
AFRICAM 39E,seminar,2 - 4 Units,"Terms offered: Summer 2013 10 Week Session, Fall 2012, Summer 2012 10 Week Session",freshman sophomor seminar offer lower divis student opportun explor intellectu topic faculti member group peer set these seminar offer campu depart topic vari depart depart semest semest
AFRICAM 39F,seminar,2 - 4 Units,"Terms offered: Spring 2014, Fall 2013, Fall 2012",freshman sophomor seminar offer lower divis student opportun explor intellectu topic faculti member group peer set these seminar offer campu depart topic vari depart depart semest semest
AFRICAM 39G,seminar,2 - 4 Units,Terms offered: Spring 2011,freshman sophomor seminar offer lower divis student opportun explor intellectu topic faculti member group peer set these seminar offer campu depart topic vari depart depart semest semest
AFRICAM 39H,seminar,2 - 4 Units,Terms offered: Fall 2012,freshman sophomor seminar offer lower divis student opportun explor intellectu topic faculti member group peer set these seminar offer campu depart topic vari depart depart semest semest
AFRICAM 40,special topic,3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",thi cours design provid student opportun work close african american studi faculti investig topic mutual interest great depth design primarili lower divis student topic vari semest semest
AFRICAM 84,sophomor seminar,1 or 2 Units,Terms offered: Fall 2012,sophomor seminar small interact cours offer faculti member depart across campu sophomor seminar offer opportun close regular intellectu contact faculti member student crucial second year the topic vari depart depart semest semest enrol limit sophomor
AFRICAM 98,direct group studi freshmen sophomor,1 - 4 Units,"Terms offered: Spring 2021, Spring 2020, Spring 2019",supervis research specif topic relat african american studi
AFRICAM 98BC,berkeley connect,1 Unit,"Terms offered: Spring 2024, Fall 2023, Spring 2023",berkeley connect mentor program offer variou academ depart help student build intellectu commun over cours semest enrol student particip regular discuss facilit graduat student mentor follow curriculum meet graduat student mentor academ advis attend lectur panel discuss featur depart
AFRICAM 99,supervis independ studi freshmen sophomor,1 - 4 Units,"Terms offered: Fall 2015, Fall 2014, Fall 2013",supervis research specif topic relat african american studi
AFRICAM 100,black intellectu thought,4 Units,"Terms offered: Fall 2023, Fall 2022, Spring 2022",thi cours let student explor statu african american studi disciplin the class discuss social relev african american studi polit origin disciplin debat afrocentr special attent devot contribut black feminist theori commun intellectu develop disciplin
AFRICAM 101,research method african american studi,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021",as introduct interdisciplinari research method appli studi african american commun cours examin theoret conceptu issu techniqu identifi exist research sourc method social research data collect the main focu qualit method
AFRICAM 107,race public polici,3 Units,"Terms offered: Spring 2013, Spring 2011, Spring 2006",thi cours examin format implement public polici directli relev black commun while polici analyz differ year year basic public polici methodolog introduc year
AFRICAM 109,black male american life,3 Units,"Terms offered: Spring 2016, Fall 2014, Spring 2013",the cours examin way gender race construct shape live african american male development design examin black male context childhood adolesc gender relat famili world work
AFRICAM 111,race class gender unit state,3 Units,"Terms offered: Fall 2021, Fall 2019, Fall 2018",emphasi social histori compar analysi race class gender relat american societi examin similar differ highlight gender polit
AFRICAM W111,race class gender,3 Units,"Terms offered: Summer 2022 8 Week Session, Fall 2020, Summer 2020 8 Week Session",a focu pattern global migrat relat regard african american mexican american asian american key aspect like econom polit gender cultur examin thi cours
AFRICAM 112A,polit econom develop third world,4 Units,"Terms offered: Spring 2021, Spring 2019, Spring 2018",an examin structur actual manifest third world underdevelop broad spectrum theoret posit put forward explain underdevelop view intern intran perspect
AFRICAM 112B,polit econom develop third world,4 Units,"Terms offered: Spring 2016, Spring 2015, Spring 2014",a critic apprais theoret base polici employ third world nation attempt transit modern develop econom system examin intern intran impedi third world develop the focu actual exampl repres divers develop countri
AFRICAM 113AC,racial capit,4 Units,Terms offered: Spring 2024,
AFRICAM 114,introduct african linguist,3 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2020",
AFRICAM 115,languag social issu africa,3 Units,"Terms offered: Spring 2024, Spring 2021, Spring 2020",thi upper divis cours deal relev languag social issu african societi it focu polit develop africa use languag foster nation ident attain cultur emancip tool oppress mainten social relat address issu educ childhood develop etc the cours examin issu root nation
AFRICAM 116,slaveri african american life befor,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2020",thi cours examin origin african slave trade explor polit econom demograph cultur factor shape african american life cultur prior
AFRICAM 117,african american industri age,4 Units,"Terms offered: Spring 2024, Spring 2017, Spring 2016",with emphasi given organ labor slaveri cours explor histori african american cultur institut protest tradit civil war civil right movement
AFRICAM 118,the slave trade cultur modern atlant world,3 Units,"Terms offered: Fall 2023, Spring 2018, Spring 2017",the cours explor role transatlant slave trade evolut atlant world compris four contin africa europ north south america although cours deal variou aspect slave trade emphas cultur theme the discoveri fresh data applic sophist techniqu recent year combin grow willing specialist speak
AFRICAM 119,select topic sociohistor develop black world,1 - 4 Units,"Terms offered: Summer 2017 First 6 Week Session, Summer 2016 First 6 Week Session, Fall 2012",topic vari semest
AFRICAM 120,africa from revolut global,4 Units,"Terms offered: Spring 2024, Spring 2021, Spring 2020",thi cours offer panorama african histor experi polit econom dynam africa onset european colon late nineteenth centuri coloni period age global for better wors african histori cultur shape shape european coloni rule aftermath shall also give due attent structur
AFRICAM 121,black polit life unit state,4 Units,"Terms offered: Fall 2014, Fall 2013, Fall 2012",analysi theoret histor develop african american polit form express examin local state feder polit process activ develop black polit ideolog organ movement
AFRICAM 122,african american famili american societi,3 Units,"Terms offered: Spring 2015, Spring 2014, Spring 2013",examin histor role function famili develop black peopl america slaveri present
AFRICAM 123,social polit thought diaspora,3 Units,"Terms offered: Spring 2023, Spring 2022, Fall 2021",an examin social polit thought african travel across diaspora particular focu centuri
AFRICAM W124,the philosophi martin luther king,3 Units,"Terms offered: Summer 2014 10 Week Session, Summer 2014 8 Week Session, Summer 2013 8 Week Session",use thought action martin luther king cours examin major event civil right movement read includ origin work king well secondari sourc special emphasi african american religion nonviol integr thi cours
AFRICAM 125,histori civil right movement,4 Units,"Terms offered: Spring 2013, Spring 2012, Spring 2011",the object cours examin modern civil right movement as understood tradit period began unit state suprem court decis may brown board educ passag vote right act thi cours seek place movement context global develop context broad sweep unit state histori assign read consist
AFRICAM 125AC,the histori modern civil right movement,3 Units,"Terms offered: Summer 2023 Second 6 Week Session, Summer 2022 Second 6 Week Session, Summer 2021 Second 6 Week Session",the object cours examin modern civil right movement as tradit understood period began may brown board educ suprem court decis end passag vote right act thi cours expand time frame seek place movement context global develop
AFRICAM 126,african american women histori,4 Units,"Terms offered: Spring 2023, Fall 2015, Spring 2015",the object cours examin substant issu african american femal experi coloni time present the domin theme cours includ famili work commun sexual individu collect activ particular attent paid interplay race class gender american societi assign read consist introduct scholarli secondari literatur
AFRICAM 127,pan afrikan social modemet past present futur studi abroad,6 Units,Terms offered: Summer 2023 First 6 Week Session,social movement past present futur immers studi abroad experi base ghana through experi weekli lectur weekli interact workshop student examin liber stori thi cours provid student studi histor trajectori ghanaian independ movement saw revolutionari scholar leader kwame nkrumah
AFRICAM 131,caribbean societi cultur,3 Units,"Terms offered: Spring 2020, Spring 2019, Spring 2018",compar studi spanish dutch english caribbean societi analysi caribbean social structur includ develop plantat system urban dynam ethnic polit famili structur ecolog african caribbean religion
